Module                  Size  Used by
xe                   2158592  0
drm_gpuvm              24576  1 xe
drm_exec               16384  1 xe
drm_buddy              20480  1 xe
gpu_sched              61440  1 xe
drm_suballoc_helper    12288  1 xe
drm_ttm_helper         12288  1 xe
ttm                    94208  2 drm_ttm_helper,xe
drm_display_helper    208896  1 xe
cec                    61440  2 drm_display_helper,xe
drm_kms_helper        241664  2 drm_display_helper,xe
drm                   696320  10 gpu_sched,drm_kms_helper,drm_exec,drm_suballoc_helper,drm_display_helper,drm_buddy,drm_ttm_helper,xe,ttm
video                  73728  1 xe
xt_conntrack           12288  1
xt_MASQUERADE          16384  1
nf_conntrack_netlink    53248  0
nfnetlink              20480  2 nf_conntrack_netlink
xfrm_user              53248  1
xfrm_algo              20480  1 xfrm_user
iptable_nat            12288  1
nf_nat                 57344  2 iptable_nat,xt_MASQUERADE
nf_conntrack          184320  4 xt_conntrack,nf_nat,nf_conntrack_netlink,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
xt_addrtype            12288  2
iptable_filter         12288  1
bpfilter               12288  0
br_netfilter           32768  0
bridge                348160  1 br_netfilter
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
overlay               176128  0
nls_iso8859_1          12288  2
dm_multipath           40960  0
scsi_dh_rdac           16384  0
scsi_dh_emc            12288  0
scsi_dh_alua           20480  0
x86_pkg_temp_thermal    16384  0
intel_powerclamp       16384  0
coretemp               16384  0
kvm_intel             376832  0
binfmt_misc            24576  1
kvm                  1216512  1 kvm_intel
snd_sof_pci_intel_lnl    12288  0
snd_sof_intel_hda_common   196608  1 snd_sof_pci_intel_lnl
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
soundwire_intel        65536  1 snd_sof_intel_hda_common
soundwire_generic_allocation    12288  1 soundwire_intel
snd_sof_intel_hda_mlink    40960  2 soundwire_intel,snd_sof_intel_hda_common
soundwire_cadence      40960  1 soundwire_intel
soundwire_bus         102400  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
snd_sof_pci            24576  2 snd_sof_pci_intel_lnl,snd_sof_intel_hda_common
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_common
snd_sof               319488  3 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda
snd_sof_utils          16384  1 snd_sof
snd_hda_ext_core       36864  4 snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
